,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
59,20.922054,-23.781586,21.848831,-1.8287572,-15.59757,-1.2650839,-20.718382,6.3425083,5.288785,0.7556125,-1.1942675,-34.60512,2.9925756,-6.5607476,12.318419,-13.072454
60,7.707636,-5.9093595,7.0827036,-1.2405771,-6.628975,-2.3306,-9.46266,2.1881347,2.7283146,2.105979,-0.5688,-12.938926,3.1879334,1.0274487,5.054836,-3.6945884
61,8.133604,-11.761374,9.94427,-1.0774095,-6.989996,-1.6339653,-9.218783,2.9793313,3.5676427,1.1108187,-3.1816537,-18.574898,1.4841541,-5.292544,3.6173546,-8.403624
62,8.567417,-10.1388445,9.393245,-0.4954821,-7.1949334,-1.7716379,-10.505657,3.4969876,1.9500623,0.863112,-0.7552407,-14.178202,1.9270129,-1.8157395,5.825337,-5.7165637
63,10.6988535,-8.179733,9.573859,-1.1264114,-8.165162,-3.0578387,-12.419294,3.806069,3.175512,2.8351226,-0.4347467,-16.197937,3.2494369,0.73082703,6.755759,-4.5525346
64,18.211262,-20.091356,17.24126,-1.7969532,-13.160734,-4.2411923,-20.423449,7.0608225,5.2002816,2.7976718,-1.3656657,-30.472021,3.3605976,-3.6469395,10.962146,-10.600672
65,1.3774986,-3.5009744,2.0739336,-0.5911858,-1.9483447,-2.6663425,-3.9663002,1.7745255,2.079879,1.7805142,-3.3423815,-7.3697157,1.2367413,-1.8537055,-0.113883644,-3.6269233
66,13.095468,-12.324141,11.237521,-1.5449374,-9.575887,-4.8615,-16.29654,5.340843,3.9462698,3.2574074,-0.5717654,-20.536179,3.399968,0.52357423,8.413719,-5.9303813
67,18.499908,-21.623278,18.539022,-1.7553995,-13.639722,-2.6115603,-19.699259,6.5314302,4.8566065,1.5197761,-1.2559937,-31.48557,2.8195055,-5.3461328,11.010036,-11.805072
68,19.968616,-23.853388,20.39181,-1.9190494,-14.950505,-2.500332,-21.454605,6.783666,4.80045,0.7915914,-1.0986222,-33.46019,2.742206,-5.778824,12.304861,-12.482991
69,1.2494599,-6.5322804,-0.83204967,-1.4990255,-1.0711869,-6.583573,-7.708726,4.1268587,2.8615136,3.9406326,-4.1097965,-9.958467,3.5727475,-0.8017139,-0.32860008,-5.302775
70,7.5611286,-6.278108,5.501939,-2.3768263,-5.385664,-4.7576604,-10.74723,2.7950518,3.8343554,3.681647,-1.4432741,-14.050366,4.5923734,2.5138662,4.122862,-3.7743425
71,9.362261,-6.6878853,9.272897,-0.7667374,-7.8636827,-1.9343619,-10.210549,2.8894467,2.925973,2.1682863,-0.58357376,-14.399935,3.0102148,0.09785634,6.032951,-4.2331333
72,13.212068,-13.29632,12.748262,-1.0315578,-10.22653,-3.0987782,-15.257119,4.7015505,3.482274,1.9227301,-0.49751642,-20.587606,2.832669,-1.1836106,8.672205,-6.7546496
73,6.9635434,-8.080789,7.880387,-0.50835717,-6.248028,-1.6477168,-8.998448,2.8835437,2.0015085,0.63721097,-0.99713457,-12.288454,0.8623812,-1.7469581,4.409223,-4.760977
